"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Tot Deaths/
1M pop",Closed Case,"Death Rate
(%)"
USA,"85,435","+17,224","1,295",+268,"1,868","82,272","2,122",258,4,3163,40.94
China,"81,285",+67,"3,287",+6,"74,051","3,947","1,235",56,2,77338,4.25
Italy,"80,589","+6,203","8,215",+712,"10,361","62,013","3,612","1,333",136,18576,44.22
Spain,"57,786","+8,271","4,365",+718,"7,015","46,406","3,166","1,236",93,11380,38.36
Germany,"43,938","+6,615",267,+61,"5,673","37,998",23,524,3,5940,4.49
Iran,"29,406","+2,389","2,234",+157,"10,457","16,715","2,746",350,27,12691,17.6
France,"29,155","+3,922","1,696",+365,"4,948","22,511","3,375",447,26,6644,25.53
Switzerland,"11,811",+914,192,+39,131,"11,488",141,"1,365",22,323,59.44
UK,"11,658","+2,129",578,+115,135,"10,945",163,172,9,713,81.07
S. Korea,"9,241",+104,131,+5,"4,144","4,966",59,180,3,4275,3.06
Netherlands,"7,431","+1,019",434,+78,3,"6,994",761,434,25,437,99.31
Austria,"6,909","+1,321",49,+18,112,"6,748",96,767,5,161,30.43
Belgium,"6,235","+1,298",220,+42,675,"5,340",605,538,19,895,24.58
Canada,"4,043",+634,39,+3,228,"3,776",120,107,1,267,14.61
Turkey,"3,629","+1,196",75,+16,26,"3,528",136,43,0.9,101,74.26
Portugal,"3,544",+549,60,+17,43,"3,441",61,348,6,103,58.25
Norway,"3,372",+288,14,,6,"3,352",70,622,3,20,70.0
Australia,"3,050",+374,13,+2,170,"2,867",23,120,0.5,183,7.1
Brazil,"2,985",+431,77,+18,6,"2,902",18,14,0.4,83,92.77
Sweden,"2,840",+314,77,+15,16,"2,747",200,281,8,93,82.8
Israel,"2,693",+324,8,+3,68,"2,617",46,311,0.9,76,10.53
Malaysia,"2,031",+235,23,+3,215,"1,793",45,63,0.7,238,9.66
Czechia,"1,925",+271,9,+3,10,"1,906",34,180,0.8,19,47.37
Denmark,"1,877",+153,41,+7,1,"1,835",94,324,7,42,97.62
Ireland,"1,819",+255,19,+10,5,"1,795",47,368,4,24,79.17
Luxembourg,"1,453",+120,9,+1,6,"1,438",3,"2,321",14,15,60.0
Ecuador,"1,403",+192,34,+5,3,"1,366",58,80,2,37,91.89
Japan,"1,387",+80,47,+2,359,981,57,11,0.4,406,11.58
Chile,"1,306",+164,4,+1,22,"1,280",7,68,0.2,26,15.38
