"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",,Closed Case,"Death Rate
(%)"
World,"1,698,835","+94,625","102,684","+6,971","376,184","1,219,967","49,831",218,13.2,,,,478868.0,21.44
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
USA,"502,876","+33,752","18,747","+2,035","27,314","456,815","10,917","1,519",57,"2,538,888","7,670",,46061.0,40.7
,,,,,,,,,,,,,,
Spain,"158,273","+5,051","16,081",+634,"55,668","86,524","7,371","3,385",344,"355,000","7,593",,71749.0,22.41
Italy,"147,577","+3,951","18,849",+570,"30,455","98,273","3,497","2,441",312,"906,864","14,999",,49304.0,38.23
France,"124,869","+7,120","13,197",+987,"24,932","86,740","7,004","1,913",202,"333,807","5,114",,38129.0,34.61
Germany,"122,171","+3,936","2,736",+129,"53,913","65,522","4,895","1,458",33,"1,317,887","15,730",,56649.0,4.83
China,"81,907",+42,"3,336",+1,"77,455","1,116",144,57,2,,,,80791.0,4.13
UK,"73,758","+8,681","8,958",+980,344,"64,456","1,559","1,086",132,"316,836","4,667",,9302.0,96.3
Iran,"68,192","+1,972","4,232",+122,"35,465","28,495","3,969",812,50,"242,568","2,888",,39697.0,10.66
Turkey,"47,029","+4,747","1,006",+98,"2,423","43,600","1,667",558,12,"307,210","3,643",,3429.0,29.34
,,,,,,,,,,,,,,
Belgium,"26,667","+1,684","3,019",+496,"5,568","18,080","1,278","2,301",260,"84,248","7,269",,8587.0,35.16
Switzerland,"24,551",+500,"1,002",+54,"11,100","12,449",386,"2,837",116,"178,500","20,625",,12102.0,8.28
Netherlands,"23,097","+1,335","2,511",+115,250,"20,336","1,424","1,348",147,"101,534","5,926",,2761.0,90.95
Canada,"22,148","+1,383",569,+60,"6,013","15,566",557,587,15,"370,315","9,812",,6582.0,8.64
Brazil,"19,789","+1,644","1,068",+114,173,"18,548",296,93,5,"62,985",296,,1241.0,86.06
Portugal,"15,472","+1,516",435,+26,233,"14,804",226,"1,517",43,"140,863","13,815",,668.0,65.12
Austria,"13,560",+316,319,+24,"6,064","7,177",261,"1,506",35,"134,743","14,961",,6383.0,5.0
,,,,,,,,,,,,,,
Russia,"11,917","+1,786",94,+18,795,"11,028",8,82,0.6,"1,090,000","7,469",,889.0,10.57
S. Korea,"10,450",+27,208,+4,"7,117","3,125",55,204,4,"503,051","9,812",,7325.0,2.84
Israel,"10,408",+440,95,+9,"1,183","9,130",124,"1,202",11,"117,339","13,557",,1278.0,7.43
Sweden,"9,685",+544,870,+77,381,"8,434",749,959,86,"54,700","5,416",,1251.0,69.54
Ireland,"8,089","+1,515",287,+24,25,"7,777",194,"1,638",58,"53,000","10,734",,312.0,91.99
,,,,,,,,,,,,,,
India,"7,600",+875,249,+22,774,"6,577",,6,0.2,"189,111",137,,1023.0,24.34
Ecuador,"7,161","+2,196",297,+25,368,"6,496",171,406,17,"21,568","1,222",,665.0,44.66
Chile,"6,501",+529,65,+8,"1,571","4,865",70,340,3,"72,797","3,808",,1636.0,3.97
Norway,"6,314",+95,113,+5,32,"6,169",70,"1,165",21,"123,170","22,720",,145.0,77.93
Australia,"6,238",+86,54,+3,"3,141","3,043",74,245,2,"338,346","13,269",,3195.0,1.69
Japan,"6,005",+658,99,,685,"5,221",109,47,0.8,"64,387",509,,784.0,12.63
Poland,"5,955",+380,181,+7,318,"5,456",160,157,5,"118,295","3,126",,499.0,36.27
Peru,"5,897",+641,169,+31,"1,569","4,159",130,179,5,"56,681","1,719",,1738.0,9.72
Denmark,"5,819",+184,247,+10,"1,773","3,799",113,"1,005",43,"64,731","11,176",,2020.0,12.23
